PlotTag,Species4,SppCommon,DBH,CrownStatus,TreeStatus,Year,PlotGrid,UTM.Easting,UTM.Northing,Transect No.,PlotRadiusm,PlotAreaha,SapAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p018,FAGR,beech,4.2,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,2.5,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,2.7,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,4.3,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,3.8,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,2.1,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,5,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,2.5,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,4.3,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p018,FAGR,beech,3.2,NA,1,2005,Core,279500,4870200,795,12.62,0.05,0.005048,700,186,10.45160679,1995,2005,2015,10,10,M,NH.wood
p019,PIRU,red spruce,2.3,NA,2,2005,Core,279500,4870000,795,12.62,0.05,0.005048,670,116,14.68746267,1995,2005,2015,10,10,M,NH.wood
p019,FAGR,beech,5.3,NA,1,2005,Core,279500,4870000,795,12.62,0.05,0.005048,670,116,14.68746267,1995,2005,2015,10,10,M,NH.wood
p019,ACSA,sugar maple,7.9,NA,1,2005,Core,279500,4870000,795,12.62,0.05,0.005048,670,116,14.68746267,1995,2005,2015,10,10,M,NH.wood
p019,FAGR,beech,3.3,NA,1,2005,Core,279500,4870000,795,12.62,0.05,0.005048,670,116,14.68746267,1995,2005,2015,10,10,M,NH.wood
